name,sity,country
shughes0,Mymensingh,Bangladesh
rcox1,Huayang,China
sgibson2,Changfu,China
emills3,Issoire,France
twhite4,Yunhe,China
slane5,Xiadian,China
asullivan6,Lipka,Poland
ppierce7,Potrero Grande,Panama
jpierce8,Taouloukoult,Morocco
cross9,Kōnosu,Japan
jandrewsa,Brant,Canada
kwestb,Alua,Philippines
tbryantc,Pérama,Greece
skimd,Xitieshan,China
dsmithe,Ditang,China
aellisf,Takengon,Indonesia
jwilsong,Colotenango,Guatemala
jwallaceh,Hongyuan,China
tcollinsi,Sukoanyar,Indonesia
cellisj,Duko,Indonesia
jrosek,Shamkhor,Azerbaijan
jstanleyl,Horki,Belarus
gbishopm,Tunggar,China
rhansonn,Richmond,Jamaica
showello,Banjar Tibubiyu Kaja,Indonesia
lfisherp,Hanjia,China
efordq,Bolekhiv,Ukraine
bcruzr,Tene,Indonesia
pallens,Jince,Czech Republic
npeterst,Vayk’,Armenia
jmarshallu,Langenburg,Canada
ejohnstonv,Limoges,France
alopezw,Lavrica,Slovenia
ibishopx,Shuangyang,China
arosey,Nejo,Ethiopia
kcarrz,Barotac Viejo,Philippines
rrivera10,Goascorán,Honduras
dlawson11,Panawuan,Indonesia
gward12,Zalaegerszeg,Hungary
tmason13,Pailou,China
chamilton14,Abashiri,Japan
bhicks15,Boa Vista,Brazil
ddixon16,Evansville,United States
kharper17,Chabařovice,Czech Republic
hgonzales18,Haramgai,China
cburns19,Sidomulyo Kulon,Indonesia
swoods1a,Cabagan,Philippines
cperkins1b,As Sawdā,Syria
ebutler1c,Edinburgh of the Seven Seas,Saint Helena
jburke1d,Maogang,China
mmason1e,Paraiso,Philippines
cjohnston1f,Mertani,Indonesia
wfuller1g,Alenquer,Portugal
lperry1h,Karangsari,Indonesia
rmoore1i,Citampian,Indonesia
lwashington1j,Wisła,Poland
glawrence1k,Sasovo,Russia
bfisher1l,Maringá,Brazil
jwelch1m,Houten,Netherlands
cevans1n,Thoeng,Thailand
fcarpenter1o,Ciawi,Indonesia
cpalmer1p,Paynjuwayn,Iraq
ckelly1q,Cigaluh,Indonesia
rbell1r,Hrvatini,Slovenia
dknight1s,Hengzhou,China
csanchez1t,Paris 11,France
jelliott1u,Monte Caseros,Argentina
vwood1v,Maanĭt,Mongolia
rmorgan1w,Al Muharraq,Bahrain
gcarr1x,Zhantang,China
bmason1y,Lajeosa do Mondego,Portugal
mgardner1z,Atyrau,Kazakhstan
swhite20,Ewarton,Jamaica
lwarren21,Maoping,China
amendoza22,Moutnice,Czech Republic
hburke23,Gununglajang,Indonesia
hgilbert24,Yanghu,China
bhill25,Niverville,Canada
gharrison26,Sumurgayam,Indonesia
jburton27,Jalingo,Nigeria
mmatthews28,Los Cerrillos,Uruguay
bellis29,Berezivka,Ukraine
ghughes2a,Cihaur,Indonesia
cbowman2b,Waekolong,Indonesia
bruiz2c,Ribeira Grande,Cape Verde
llane2d,Stavyshche,Ukraine
epayne2e,Maojiadian,China
bortiz2f,Ban Khlong Bang Sao Thong,Thailand
lsanders2g,Tugela Ferry,South Africa
pnguyen2h,Kuala Lumpur,Malaysia
awilliams2i,Liuji,China
twebb2j,Tianxingchang,China
kandrews2k,Kirovskiy,Russia
fgreene2l,Trondheim,Norway
cwatson2m,Le Port,Reunion
alane2n,Jieguanting,China
jmorales2o,Montecarlo,Argentina
ahoward2p,Pilaya,Bolivia
wanderson2q,Ketawang,Indonesia
mfowler2r,Laiyang,China
tcarr2s,Tianzhen,China
arichardson2t,Karangmangu,Indonesia
rhart2u,Warren,United States
stucker2v,Chalu,China
egray2w,Modimolle,South Africa
aoliver2x,Cagliari,Italy
dgonzalez2y,Sanquan,China
jscott2z,Qinggou,China
lbrooks30,Solna,Sweden
ggreen31,Nanyanchuan,China
amurphy32,Talun,Indonesia
jlopez33,Garland,United States
jjohnson34,Haiyangsuo,China
egomez35,Agualva de Cima,Portugal
arose36,Camiling,Philippines
pprice37,Mondlo,South Africa
lbryant38,Embajador Martini,Argentina
schapman39,Quthing,Lesotho
