dsnyder0,Necoclí,Colombia
bortiz1,Dulce Nombre de Culmí,Honduras
wedwards2,Karonga,Malawi
jaustin3,Pasadena,Canada
dhenderson4,Serzedo,Portugal
jryan5,Kuching,Malaysia
awilliams6,Zhireken,Russia
aberry7,San Pedro Carchá,Guatemala
edixon8,Gopaan,Indonesia
vward9,Arkhaía Kórinthos,Greece
hhamiltona,Ongabelen,Indonesia
kbennettb,Ciwidara,Indonesia
ameyerc,Faranah,Guinea
jevansd,Changkeng,China
jnguyene,Las Parejas,Argentina
rfoxf,Kostino,Russia
rsmithg,Dahuaishu,China
wdiazh,Xushuguan,China
shalli,Fram,Paraguay
rhowellj,Zhongmen,China
awebbk,Pantang,China
creedl,Goyang-si,South Korea
pmorrism,Tirhanimîne,Morocco
jmorgann,Bani,Philippines
swhiteo,Terrugem,Portugal
jhunterp,Klirou,Cyprus
rwardq,Laocheng,China
hjacobsr,Åstorp,Sweden
jperezs,Vila Chã,Portugal
nrobertst,Muli,China
hgonzalesu,Isla Verde,Argentina
sharrisv,Kayangel,Palau
jrichardsw,Paris 15,France
hhowardx,Nama,Philippines
amoralesy,Dowr-e Rabāţ,Afghanistan
jmoralesz,Talshand,Mongolia
jparker10,Twardawa,Poland
mgilbert11,Puan,Argentina
gjames12,Jiakexi,China
lgriffin13,Atafu Village,Tokelau
aflores14,Pavlovskaya,Russia
nmyers15,Bonao,Dominican Republic
csmith16,Ngarus,Indonesia
wreed17,Huskvarna,Sweden
jcampbell18,Paulista,Brazil
sbanks19,Funga,Indonesia
rallen1a,Xuetian,China
wkim1b,Alua,Philippines
cmurray1c,Cervantes,Philippines
astevens1d,Ani-e,Philippines
sporter1e,Kaparéllion,Greece
ageorge1f,La Libertad,Mexico
lgarcia1g,Haninge,Sweden
bfox1h,Fonte Boa,Brazil
frichardson1i,Chengfeng,China
pbrown1j,Néa Tríglia,Greece
rmorgan1k,Cabriz,Portugal
kbishop1l,Carvalhal,Portugal
janderson1m,Sydney,Australia
srobinson1n,Lynchburg,United States
